Zeit;Kanal A
(ms);(mV)

-22,86699911;2,23363700
-22,86199911;1,86146600
-22,85699911;1,86146600
-22,85199911;2,41941400
-22,84699911;1,48868100
-22,84199911;2,04724400
-22,83699911;1,86146600
-22,83199911;1,48868100
-22,82699911;1,86146600
-22,82199911;2,23363700
-22,81699911;1,67507400
-22,81199911;1,86146600
-22,80699911;1,48868100
-22,80199911;1,86146600
-22,79699911;2,97797700
-22,79199911;2,23363700
-22,78699911;1,67507400
-22,78199911;2,79220000
-22,77699911;2,79220000
-22,77199911;2,60580700
-22,76699911;2,79220000
-22,76199911;2,97797700
-22,75699911;3,16437000
-22,75199911;3,90871000
-22,74699911;2,79220000
-22,74199911;3,35014700
-22,73699911;3,72293300
-22,73199911;3,72293300
-22,72699911;3,90871000
-22,72199911;3,72293300
-22,71699911;2,97797700
-22,71199911;3,72293300
-22,70699911;2,97797700
-22,70199911;2,79220000
-22,69699911;2,79220000
-22,69199911;2,79220000
-22,68699911;2,79220000
-22,68199911;2,79220000
-22,67699911;2,79220000
-22,67199911;2,41941400
-22,66699911;2,41941400
-22,66199911;2,97797700
-22,65699911;2,60580700
-22,65199911;2,97797700
-22,64699911;2,79220000
-22,64199911;2,79220000
-22,63699911;2,60580700
-22,63199911;2,79220000
-22,62699911;2,79220000
-22,62199911;2,79220000
-22,61699911;2,04724400
-22,61199911;1,86146600
-22,60699911;2,60580700
-22,60199911;2,41941400
-22,59699911;2,79220000
-22,59199911;2,04724400
-22,58699911;2,41941400
-22,58199911;3,35014700
-22,57699911;1,86146600
-22,57199911;2,23363700
-22,56699911;2,04724400
-22,56199911;2,41941400
-22,55699911;1,86146600
-22,55199911;1,48868100
-22,54699911;1,48868100
-22,54199911;1,67507400
-22,53699911;1,67507400
-22,53199911;1,86146600
-22,52699911;1,86146600
-22,52199911;0,55794780
-22,51699911;0,93073320
-22,51199911;0,55794780
-22,50699911;0,00000000
-22,50199911;0,18577760
-22,49699912;-0,55794780
-22,49199912;0,00000000
-22,48699912;-0,37217020
-22,48199912;-0,18577760
-22,47699912;0,18577760
-22,47199912;0,93073320
-22,46699912;1,11651100
-22,46199912;2,04724400
-22,45699912;2,41941400
-22,45199912;3,35014700
-22,44699912;3,16437000
-22,44199912;3,72293300
-22,43699912;4,46727300
-22,43199912;3,72293300
-22,42699912;3,72293300
-22,42199912;3,35014700
-22,41699912;2,97797700
-22,41199912;2,79220000
-22,40699912;1,48868100
-22,40199912;1,30290300
-22,39699912;1,11651100
-22,39199912;0,00000000
-22,38699912;0,00000000
-22,38199912;-0,37217020
-22,37699912;-0,93073320
-22,37199912;-0,93073320
-22,36699912;-2,23363700
-22,36199912;-1,67507400
-22,35699912;-2,23363700
-22,35199912;-1,30290300
-22,34699912;-1,30290300
-22,34199912;-1,30290300
-22,33699912;-2,23363700
-22,33199912;-1,48868100
-22,32699912;-1,67507400
-22,32199912;-1,30290300
-22,31699912;-1,48868100
-22,31199912;-2,04724400
-22,30699912;-1,30290300
-22,30199912;-1,11651100
-22,29699912;0,18577760
-22,29199912;-2,04724400
-22,28699912;-2,04724400
-22,28199912;-2,23363700
-22,27699912;-2,23363700
-22,27199912;-2,60580700
-22,26699912;-2,23363700
-22,26199912;-2,97797700
-22,25699912;-3,16437000
-22,25199912;-3,35014700
-22,24699912;-3,35014700
-22,24199912;-3,53654000
-22,23699912;-3,53654000
-22,23199912;-3,53654000
-22,22699912;-3,53654000
-22,22199912;-3,53654000
-22,21699912;-2,97797700
-22,21199912;-2,60580700
-22,20699912;-2,60580700
-22,20199912;-2,41941400
-22,19699912;-1,30290300
-22,19199912;-1,30290300
-22,18699912;-2,04724400
-22,18199912;-0,74434050
-22,17699912;-1,48868100
-22,17199912;-1,86146600
-22,16699912;-1,86146600
-22,16199912;-2,04724400
-22,15699912;-1,48868100
-22,15199912;-3,16437000
-22,14699912;-3,16437000
-22,14199912;-2,60580700
-22,13699912;-3,53654000
-22,13199912;-2,97797700
-22,12699912;-3,72293300
-22,12199912;-3,53654000
-22,11699912;-2,23363700
-22,11199912;-3,35014700
-22,10699912;-3,53654000
-22,10199913;-3,16437000
-22,09699913;-2,60580700
-22,09199913;-2,60580700
-22,08699913;-2,60580700
-22,08199913;-2,23363700
-22,07699913;-2,41941400
-22,07199913;-2,23363700
-22,06699913;-3,16437000
-22,06199913;-2,79220000
-22,05699913;-1,11651100
-22,05199913;-3,16437000
-22,04699913;-2,79220000
-22,04199913;-3,35014700
-22,03699913;-3,35014700
-22,03199913;-3,72293300
-22,02699913;-2,97797700
-22,02199913;-3,90871000
-22,01699913;-3,16437000
-22,01199913;-3,53654000
-22,00699913;-2,97797700
-22,00199913;-2,60580700
-21,99699913;-2,41941400
-21,99199913;-3,16437000
-21,98699913;-2,79220000
-21,98199913;-2,04724400
-21,97699913;-3,16437000
-21,97199913;-0,74434050
-21,96699913;-4,09510300
-21,96199913;-2,60580700
-21,95699913;-2,41941400
